Metric,4-Year Public In State (Stem) — Midwest,CC + Transfer (Business) — Midwest,Electrician Apprenticeship — Midwest,Military Enlistment + GI Bill — Midwest,Direct Workforce — Midwest
Education Cost,55084,40122,14640,0,0
Loan Amount,55084,40122,14640,0,0
Total Interest Paid,47749,34780,7470,0,0
Year Debt-Free,32,32,26,N/A,N/A
Year Positive Net Worth,27,27,22,18,18
Net Worth at 25,-32249,-23475,40387,33399,30159
Net Worth at 30,61649,47123,97767,85462,61597
Net Worth at 38,242348,182929,241250,235201,144849
Net Worth at 50,809303,601367,705401,754948,408524
Net Worth at 59,1756822,1289211,1438485,1617843,819300
42-Year Earnings,6527746,4690811,4181551,5598017,2182487
Peak Debt Burden,15.87%,14.52%,8.37%,0.00%,0.00%
